Real Energy	Noised Energy	Filtered Energy	Noised Diff	Filtered Diff
309.04	310.752	310.515	-0.554%	-0.477%
336.684	337.795	337.01	-0.33%	-0.097%
351.752	350.438	350.083	0.373%	0.474%
618.332	616.198	615.565	0.345%	0.447%
163.652	163.821	163.697	-0.103%	-0.027%
137.421	136.759	136.55	0.482%	0.634%
728.626	725.318	724.369	0.454%	0.584%
345.469	350.163	350.107	-1.359%	-1.343%
237.142	236.975	236.661	0.07%	0.203%
637.0	640.03	638.818	-0.476%	-0.285%
670.04	679.345	677.98	-1.389%	-1.185%
614.006	628.1	626.732	-2.295%	-2.073%
108.539	111.601	111.552	-2.821%	-2.776%
459.486	460.59	460.145	-0.24%	-0.143%
351.237	356.617	355.877	-1.532%	-1.321%
591.593	594.986	593.437	-0.574%	-0.312%
79.678	80.274	80.236	-0.748%	-0.7%
468.497	470.238	468.978	-0.372%	-0.103%
726.206	719.564	717.97	0.915%	1.134%
368.841	362.487	361.755	1.723%	1.921%
597.722	590.885	590.616	1.144%	1.189%
65.657	58.786	58.467	10.465%	10.95%
653.192	647.596	646.525	0.857%	1.021%
117.491	128.355	128.174	-9.247%	-9.093%
619.863	623.193	621.841	-0.537%	-0.319%
487.179	494.152	493.071	-1.431%	-1.209%
395.39	398.197	397.398	-0.71%	-0.508%
702.793	701.041	699.82	0.249%	0.423%
719.026	720.231	719.275	-0.168%	-0.035%
413.892	413.163	412.797	0.176%	0.265%
674.191	674.858	674.004	-0.099%	0.028%
704.409	707.433	706.391	-0.429%	-0.281%
299.625	304.751	304.385	-1.711%	-1.589%
561.316	557.352	556.83	0.706%	0.799%
721.521	714.392	713.581	0.988%	1.1%
435.893	438.178	437.005	-0.524%	-0.255%
308.376	304.867	303.783	1.138%	1.489%
713.68	709.009	707.918	0.655%	0.807%
279.56	276.236	276.167	1.189%	1.214%
290.229	286.97	286.664	1.123%	1.228%
694.881	699.885	698.793	-0.72%	-0.563%
160.318	162.03	162.073	-1.068%	-1.095%
674.967	673.746	672.956	0.181%	0.298%
537.388	537.266	536.499	0.023%	0.165%
480.138	474.599	473.779	1.154%	1.325%
609.349	603.989	602.534	0.88%	1.118%
125.956	127.398	127.318	-1.145%	-1.081%
584.656	582.821	582.324	0.314%	0.399%
587.543	587.141	586.616	0.068%	0.158%
715.616	717.907	717.201	-0.32%	-0.221%
644.447	640.174	639.525	0.663%	0.764%
161.467	156.797	156.663	2.892%	2.975%
91.174	95.629	95.408	-4.886%	-4.644%
127.343	129.713	129.648	-1.861%	-1.81%
89.797	90.29	90.279	-0.549%	-0.537%
291.939	292.944	292.371	-0.344%	-0.148%
248.789	248.508	248.152	0.113%	0.256%
508.826	519.567	518.639	-2.111%	-1.929%
453.156	467.871	467.039	-3.247%	-3.064%
528.241	532.555	531.429	-0.817%	-0.603%
627.053	631.209	630.198	-0.663%	-0.502%
521.972	521.665	520.948	0.059%	0.196%
548.859	549.379	548.919	-0.095%	-0.011%
380.184	384.352	383.803	-1.096%	-0.952%
178.075	182.354	182.481	-2.403%	-2.474%
248.177	249.883	249.405	-0.687%	-0.495%
398.129	398.275	397.356	-0.037%	0.194%
145.308	145.298	145.082	0.007%	0.155%
55.52	58.284	57.977	-4.979%	-4.426%
142.681	149.597	149.275	-4.847%	-4.622%
725.542	725.486	724.612	0.008%	0.128%
74.464	76.737	76.473	-3.053%	-2.698%
726.738	729.943	728.787	-0.441%	-0.282%
718.643	723.903	722.949	-0.732%	-0.599%
448.997	459.282	458.077	-2.291%	-2.022%
599.524	602.502	600.827	-0.497%	-0.217%
492.928	490.489	489.401	0.495%	0.715%
372.14	377.708	377.411	-1.496%	-1.416%
239.046	241.656	241.475	-1.092%	-1.016%
736.869	736.3	735.012	0.077%	0.252%
473.511	469.567	468.812	0.833%	0.992%
548.677	556.163	555.291	-1.364%	-1.206%
488.997	494.31	493.973	-1.086%	-1.018%
291.921	294.055	293.479	-0.731%	-0.533%
80.618	82.432	82.13	-2.25%	-1.876%
693.683	692.907	692.216	0.112%	0.212%
416.501	416.392	415.791	0.026%	0.17%
548.535	551.329	550.772	-0.509%	-0.408%
481.472	480.056	479.56	0.294%	0.397%
526.64	527.025	525.559	-0.073%	0.205%
475.663	481.753	481.383	-1.28%	-1.202%
689.793	685.586	685.011	0.61%	0.693%
428.805	424.618	424.06	0.976%	1.106%
304.004	298.718	298.837	1.739%	1.699%
85.131	85.487	84.812	-0.418%	0.374%
152.076	146.74	147.012	3.508%	3.33%
413.158	413.038	412.231	0.029%	0.225%
684.883	687.249	686.755	-0.345%	-0.273%
577.102	577.436	576.744	-0.058%	0.062%
689.921	686.349	685.753	0.518%	0.604%
425.556	424.067	423.602	0.35%	0.459%
564.172	561.286	560.667	0.512%	0.621%
138.849	140.604	138.609	-1.264%	0.173%
85.694	79.231	78.887	7.543%	7.944%
331.474	330.367	329.864	0.334%	0.486%
195.722	188.461	187.806	3.71%	4.044%
565.688	559.143	558.108	1.157%	1.34%
619.998	619.563	617.513	0.07%	0.401%
380.774	384.937	383.606	-1.093%	-0.744%
190.155	191.213	190.975	-0.556%	-0.431%
511.92	510.969	509.612	0.186%	0.451%
55.995	54.784	54.7	2.163%	2.312%
320.771	317.879	316.933	0.901%	1.196%
146.692	150.094	149.698	-2.319%	-2.049%
425.419	430.17	429.236	-1.117%	-0.897%
363.87	371.239	370.504	-2.025%	-1.823%
598.368	605.836	604.935	-1.248%	-1.098%
738.798	733.756	732.421	0.682%	0.863%
198.973	204.124	203.602	-2.589%	-2.327%
532.735	536.852	535.672	-0.773%	-0.551%
228.33	237.576	237.037	-4.049%	-3.813%
538.757	540.932	540.176	-0.404%	-0.263%
595.099	599.248	597.557	-0.697%	-0.413%
743.514	746.478	745.633	-0.399%	-0.285%
472.893	474.424	473.854	-0.324%	-0.203%
217.014	219.567	219.277	-1.176%	-1.043%
595.144	601.43	600.647	-1.056%	-0.925%
119.683	124.463	123.894	-3.994%	-3.519%
613.637	653.705	645.663	-6.53%	-5.219%
466.609	475.401	474.832	-1.884%	-1.762%
521.835	530.017	529.236	-1.568%	-1.418%
477.018	471.353	471.243	1.188%	1.211%
710.839	710.554	709.568	0.04%	0.179%
538.431	537.158	535.99	0.236%	0.453%
64.58	67.635	67.551	-4.731%	-4.6%
506.663	509.797	509.116	-0.618%	-0.484%
295.47	298.82	298.434	-1.134%	-1.003%
689.36	694.737	694.03	-0.78%	-0.677%
201.786	205.879	205.249	-2.028%	-1.716%
728.569	728.388	727.446	0.025%	0.154%
488.693	491.603	490.785	-0.595%	-0.428%
210.899	211.491	211.01	-0.28%	-0.052%
109.26	103.482	103.372	5.289%	5.389%
534.966	530.103	529.165	0.909%	1.084%
727.916	732.381	731.222	-0.613%	-0.454%
78.285	84.34	84.496	-7.735%	-7.934%
451.8	448.708	447.88	0.684%	0.867%
333.036	335.872	335.844	-0.852%	-0.843%
683.758	693.622	692.038	-1.443%	-1.211%
487.458	485.328	484.692	0.437%	0.567%
361.731	372.988	372.049	-3.112%	-2.853%
390.541	406.984	406.314	-4.21%	-4.039%
311.657	300.458	299.605	3.593%	3.867%
348.796	379.732	368.49	-8.869%	-5.646%
405.344	405.584	405.188	-0.059%	0.039%
452.55	459.165	458.333	-1.462%	-1.278%
201.967	205.31	204.928	-1.655%	-1.466%
655.798	656.301	654.329	-0.077%	0.224%
203.803	197.928	197.475	2.883%	3.105%
109.591	104.432	104.338	4.707%	4.793%
215.618	218.062	217.43	-1.133%	-0.841%
407.718	413.925	412.914	-1.522%	-1.274%
569.889	562.683	562.386	1.264%	1.316%
150.88	154.3	154.129	-2.267%	-2.153%
541.186	535.902	535.686	0.976%	1.016%
470.042	465.391	465.246	0.989%	1.02%
273.266	270.103	269.682	1.157%	1.311%
709.431	704.393	703.721	0.71%	0.805%
502.65	498.795	498.198	0.767%	0.886%
121.946	122.774	122.812	-0.679%	-0.71%
338.301	343.822	343.389	-1.632%	-1.504%
359.229	360.426	359.465	-0.333%	-0.066%
281.826	281.664	281.32	0.058%	0.18%
172.045	171.752	171.553	0.17%	0.286%
687.661	695.427	694.618	-1.129%	-1.012%
639.419	640.58	639.979	-0.182%	-0.088%
491.8	485.977	485.363	1.184%	1.309%
236.956	246.665	246.232	-4.097%	-3.915%
322.451	317.887	317.148	1.415%	1.644%
594.584	594.677	593.855	-0.016%	0.123%
399.313	394.739	394.297	1.145%	1.256%
172.848	178.731	178.46	-3.404%	-3.247%
536.027	530.752	530.509	0.984%	1.03%
260.142	257.458	256.884	1.032%	1.252%
114.112	113.996	113.955	0.102%	0.138%
157.316	176.575	164.923	-12.242%	-4.835%
148.04	145.659	145.037	1.608%	2.028%
198.166	196.21	195.756	0.987%	1.216%
169.64	168.892	168.527	0.441%	0.656%
119.922	115.938	115.879	3.322%	3.371%
